Residual_Power,Application_Type,Min_Security_Level,Max_Stack_Usage,Max_ROM,Min_Throughput,Algorithm
10.0,D,Low,400.0,20.0,10.0,ISAP
100.0,E,Low,400.0,20.0,200.0,SPARKLE
90.0,E,Low,400.0,20.0,200.0,SPARKLE
80.0,E,Low,400.0,20.0,200.0,SPARKLE
70.0,E,Low,400.0,20.0,200.0,SPARKLE
60.0,E,Low,400.0,20.0,200.0,SPARKLE
50.0,E,Low,400.0,20.0,200.0,PHOTON-Beetle
40.0,E,Low,400.0,20.0,200.0,PHOTON-Beetle
30.0,E,Low,400.0,20.0,200.0,PHOTON-Beetle
20.0,E,Low,400.0,20.0,200.0,PHOTON-Beetle
10.0,E,Low,400.0,20.0,200.0,PHOTON-Beetle
100.0,F,Low,400.0,20.0,1000.0,Xoodyak
90.0,F,Low,400.0,20.0,1000.0,Xoodyak
80.0,F,Low,400.0,20.0,1000.0,Xoodyak
70.0,F,Low,400.0,20.0,1000.0,Xoodyak
60.0,F,Low,400.0,20.0,1000.0,Xoodyak
50.0,F,Low,400.0,20.0,1000.0,Xoodyak
40.0,F,Low,400.0,20.0,1000.0,Xoodyak
30.0,F,Low,400.0,20.0,1000.0,Xoodyak
20.0,F,Low,400.0,20.0,1000.0,Xoodyak
10.0,F,Low,400.0,20.0,1000.0,Xoodyak
100.0,G,Low,500.0,35.0,10.0,ASCON
90.0,G,Low,500.0,35.0,10.0,ASCON
80.0,G,Low,500.0,35.0,10.0,ISAP
70.0,G,Low,500.0,35.0,10.0,ISAP
60.0,G,Low,500.0,35.0,10.0,GIFT-COFB
50.0,G,Low,500.0,35.0,10.0,GIFT-COFB
40.0,G,Low,500.0,35.0,10.0,GIFT-COFB
30.0,G,Low,500.0,35.0,10.0,Grain128-AEAD
20.0,G,Low,500.0,35.0,10.0,Grain128-AEAD
10.0,G,Low,500.0,35.0,10.0,Grain128-AEAD
100.0,H,Low,500.0,35.0,200.0,ASCON
90.0,H,Low,500.0,35.0,200.0,ASCON
80.0,H,Low,500.0,35.0,200.0,ASCON
70.0,H,Low,500.0,35.0,200.0,ASCON
60.0,H,Low,500.0,35.0,200.0,ASCON
50.0,H,Low,500.0,35.0,200.0,Romulus
40.0,H,Low,500.0,35.0,200.0,Romulus
30.0,H,Low,500.0,35.0,200.0,Romulus
20.0,H,Low,500.0,35.0,200.0,Romulus
10.0,H,Low,500.0,35.0,200.0,Romulus
100.0,I,Low,500.0,35.0,1000.0,Xoodyak
90.0,I,Low,500.0,35.0,1000.0,Xoodyak
80.0,I,Low,500.0,35.0,1000.0,Xoodyak
70.0,I,Low,500.0,35.0,1000.0,Xoodyak
60.0,I,Low,500.0,35.0,1000.0,Xoodyak
50.0,I,Low,500.0,35.0,1000.0,Xoodyak
40.0,I,Low,500.0,35.0,1000.0,Xoodyak
30.0,I,Low,500.0,35.0,1000.0,Xoodyak
20.0,I,Low,500.0,35.0,1000.0,Xoodyak
10.0,I,Low,500.0,35.0,1000.0,Xoodyak
100.0,J,Medium,300.0,17.0,10.0,Xoodyak
90.0,J,Medium,300.0,17.0,10.0,Xoodyak
80.0,J,Medium,300.0,17.0,10.0,Xoodyak
70.0,J,Medium,300.0,17.0,10.0,Xoodyak
60.0,J,Medium,300.0,17.0,10.0,Xoodyak
50.0,J,Medium,300.0,17.0,10.0,TinyJAMBU
40.0,J,Medium,300.0,17.0,10.0,TinyJAMBU
30.0,J,Medium,300.0,17.0,10.0,TinyJAMBU
20.0,J,Medium,300.0,17.0,10.0,TinyJAMBU
10.0,J,Medium,300.0,17.0,10.0,TinyJAMBU
100.0,K,Medium,300.0,17.0,200.0,Xoodyak
90.0,K,Medium,300.0,17.0,200.0,Xoodyak
80.0,K,Medium,300.0,17.0,200.0,Xoodyak
70.0,K,Medium,300.0,17.0,200.0,Xoodyak
60.0,K,Medium,300.0,17.0,200.0,Xoodyak
50.0,K,Medium,300.0,17.0,200.0,TinyJAMBU
40.0,K,Medium,300.0,17.0,200.0,TinyJAMBU
30.0,K,Medium,300.0,17.0,200.0,TinyJAMBU
20.0,K,Medium,300.0,17.0,200.0,TinyJAMBU
10.0,K,Medium,300.0,17.0,200.0,TinyJAMBU
100.0,L,Medium,300.0,17.0,1000.0,Xoodyak
90.0,L,Medium,300.0,17.0,1000.0,Xoodyak
80.0,L,Medium,300.0,17.0,1000.0,Xoodyak
70.0,L,Medium,300.0,17.0,1000.0,Xoodyak
60.0,L,Medium,300.0,17.0,1000.0,Xoodyak
50.0,L,Medium,300.0,17.0,1000.0,Xoodyak
40.0,L,Medium,300.0,17.0,1000.0,Xoodyak
30.0,L,Medium,300.0,17.0,1000.0,Xoodyak
20.0,L,Medium,300.0,17.0,1000.0,Xoodyak
10.0,L,Medium,300.0,17.0,1000.0,Xoodyak
100.0,M,Medium,400.0,20.0,10.0,ISAP
90.0,M,Medium,400.0,20.0,10.0,ISAP
80.0,M,Medium,400.0,20.0,10.0,ISAP
70.0,M,Medium,400.0,20.0,10.0,ISAP
60.0,M,Medium,400.0,20.0,10.0,ISAP
50.0,M,Medium,400.0,20.0,10.0,ISAP
40.0,M,Medium,400.0,20.0,10.0,ISAP
30.0,M,Medium,400.0,20.0,10.0,ISAP
20.0,M,Medium,400.0,20.0,10.0,ISAP
10.0,M,Medium,400.0,20.0,10.0,ISAP
100.0,N,Medium,400.0,20.0,200.0,SPARKLE
90.0,N,Medium,400.0,20.0,200.0,SPARKLE
80.0,N,Medium,400.0,20.0,200.0,SPARKLE
70.0,N,Medium,400.0,20.0,200.0,SPARKLE
60.0,N,Medium,400.0,20.0,200.0,SPARKLE
50.0,N,Medium,400.0,20.0,200.0,SPARKLE
40.0,N,Medium,400.0,20.0,200.0,SPARKLE
30.0,N,Medium,400.0,20.0,200.0,SPARKLE
20.0,N,Medium,400.0,20.0,200.0,SPARKLE
10.0,N,Medium,400.0,20.0,200.0,SPARKLE
100.0,O,Medium,400.0,20.0,1000.0,Xoodyak
90.0,O,Medium,400.0,20.0,1000.0,Xoodyak
80.0,O,Medium,400.0,20.0,1000.0,Xoodyak
70.0,O,Medium,400.0,20.0,1000.0,Xoodyak
60.0,O,Medium,400.0,20.0,1000.0,Xoodyak
50.0,O,Medium,400.0,20.0,1000.0,Xoodyak
40.0,O,Medium,400.0,20.0,1000.0,Xoodyak
30.0,O,Medium,400.0,20.0,1000.0,Xoodyak
20.0,O,Medium,400.0,20.0,1000.0,Xoodyak
10.0,O,Medium,400.0,20.0,1000.0,Xoodyak
100.0,P,Medium,500.0,35.0,10.0,ASCON
90.0,P,Medium,500.0,35.0,10.0,ASCON
80.0,P,Medium,500.0,35.0,10.0,GIFT-COFB
70.0,P,Medium,500.0,35.0,10.0,GIFT-COFB
60.0,P,Medium,500.0,35.0,10.0,ISAP
50.0,P,Medium,500.0,35.0,10.0,ISAP
40.0,P,Medium,500.0,35.0,10.0,ISAP
30.0,P,Medium,500.0,35.0,10.0,Grain128-AEAD
20.0,P,Medium,500.0,35.0,10.0,Grain128-AEAD
10.0,P,Medium,500.0,35.0,10.0,Grain128-AEAD
100.0,Q,Medium,500.0,35.0,200.0,ASCON
90.0,Q,Medium,500.0,35.0,200.0,ASCON
80.0,Q,Medium,500.0,35.0,200.0,ASCON
70.0,Q,Medium,500.0,35.0,200.0,SPARKLE
60.0,Q,Medium,500.0,35.0,200.0,SPARKLE
50.0,Q,Medium,500.0,35.0,200.0,SPARKLE
40.0,Q,Medium,500.0,35.0,200.0,Romulus
30.0,Q,Medium,500.0,35.0,200.0,Romulus
20.0,Q,Medium,500.0,35.0,200.0,Romulus
10.0,Q,Medium,500.0,35.0,200.0,Romulus
100.0,R,Medium,500.0,35.0,1000.0,Xoodyak
90.0,R,Medium,500.0,35.0,1000.0,Xoodyak
80.0,R,Medium,500.0,35.0,1000.0,Xoodyak
70.0,R,Medium,500.0,35.0,1000.0,Xoodyak
60.0,R,Medium,500.0,35.0,1000.0,Xoodyak
50.0,R,Medium,500.0,35.0,1000.0,Xoodyak
40.0,R,Medium,500.0,35.0,1000.0,Xoodyak
30.0,R,Medium,500.0,35.0,1000.0,Xoodyak
20.0,R,Medium,500.0,35.0,1000.0,Xoodyak
10.0,R,Medium,500.0,35.0,1000.0,Xoodyak
100.0,S,High,300.0,17.0,10.0,Xoodyak
90.0,S,High,300.0,17.0,10.0,Xoodyak
80.0,S,High,300.0,17.0,10.0,Xoodyak
70.0,S,High,300.0,17.0,10.0,Xoodyak
60.0,S,High,300.0,17.0,10.0,Xoodyak
50.0,S,High,300.0,17.0,10.0,Xoodyak
40.0,S,High,300.0,17.0,10.0,Xoodyak
30.0,S,High,300.0,17.0,10.0,Xoodyak
20.0,S,High,300.0,17.0,10.0,Xoodyak
10.0,S,High,300.0,17.0,10.0,Xoodyak
100.0,T,High,300.0,17.0,200.0,Xoodyak
90.0,T,High,300.0,17.0,200.0,Xoodyak
80.0,T,High,300.0,17.0,200.0,Xoodyak
70.0,T,High,300.0,17.0,200.0,Xoodyak
60.0,T,High,300.0,17.0,200.0,Xoodyak
50.0,T,High,300.0,17.0,200.0,Xoodyak
40.0,T,High,300.0,17.0,200.0,Xoodyak
30.0,T,High,300.0,17.0,200.0,Xoodyak
20.0,T,High,300.0,17.0,200.0,Xoodyak
10.0,T,High,300.0,17.0,200.0,Xoodyak
100.0,U,High,300.0,17.0,1000.0,Xoodyak
90.0,U,High,300.0,17.0,1000.0,Xoodyak
80.0,U,High,300.0,17.0,1000.0,Xoodyak
70.0,U,High,300.0,17.0,1000.0,Xoodyak
60.0,U,High,300.0,17.0,1000.0,Xoodyak
50.0,U,High,300.0,17.0,1000.0,Xoodyak
40.0,U,High,300.0,17.0,1000.0,Xoodyak
30.0,U,High,300.0,17.0,1000.0,Xoodyak
20.0,U,High,300.0,17.0,1000.0,Xoodyak
10.0,U,High,300.0,17.0,1000.0,Xoodyak
100.0,V,High,400.0,20.0,10.0,ISAP
90.0,V,High,400.0,20.0,10.0,ISAP
80.0,V,High,400.0,20.0,10.0,ISAP
70.0,V,High,400.0,20.0,10.0,ISAP
60.0,V,High,400.0,20.0,10.0,ISAP
50.0,V,High,400.0,20.0,10.0,ISAP
40.0,V,High,400.0,20.0,10.0,ISAP
30.0,V,High,400.0,20.0,10.0,ISAP
20.0,V,High,400.0,20.0,10.0,ISAP
10.0,V,High,400.0,20.0,10.0,ISAP
100.0,W,High,400.0,20.0,200.0,GIFT-COFB
90.0,W,High,400.0,20.0,200.0,GIFT-COFB
80.0,W,High,400.0,20.0,200.0,GIFT-COFB
70.0,W,High,400.0,20.0,200.0,GIFT-COFB
60.0,W,High,400.0,20.0,200.0,GIFT-COFB
50.0,W,High,400.0,20.0,200.0,GIFT-COFB
40.0,W,High,400.0,20.0,200.0,GIFT-COFB
30.0,W,High,400.0,20.0,200.0,GIFT-COFB
20.0,W,High,400.0,20.0,200.0,GIFT-COFB
10.0,W,High,400.0,20.0,200.0,GIFT-COFB
100.0,X,High,400.0,20.0,1000.0,ISAP
90.0,X,High,400.0,20.0,1000.0,ISAP
80.0,X,High,400.0,20.0,1000.0,ISAP
70.0,X,High,400.0,20.0,1000.0,ISAP
60.0,X,High,400.0,20.0,1000.0,ISAP
50.0,X,High,400.0,20.0,1000.0,ISAP
40.0,X,High,400.0,20.0,1000.0,ISAP
30.0,X,High,400.0,20.0,1000.0,ISAP
20.0,X,High,400.0,20.0,1000.0,ISAP
10.0,X,High,400.0,20.0,1000.0,ISAP
100.0,Y,High,500.0,35.0,10.0,ISAP
90.0,Y,High,500.0,35.0,10.0,ISAP
80.0,Y,High,500.0,35.0,10.0,ISAP
70.0,Y,High,500.0,35.0,10.0,ISAP
60.0,Y,High,500.0,35.0,10.0,ISAP
50.0,Y,High,500.0,35.0,10.0,Grain128-AEAD
40.0,Y,High,500.0,35.0,10.0,Grain128-AEAD
30.0,Y,High,500.0,35.0,10.0,Grain128-AEAD
20.0,Y,High,500.0,35.0,10.0,Grain128-AEAD
10.0,Y,High,500.0,35.0,10.0,Grain128-AEAD
100.0,Z,High,500.0,35.0,200.0,ASCON
90.0,Z,High,500.0,35.0,200.0,ASCON
80.0,Z,High,500.0,35.0,200.0,ASCON
70.0,Z,High,500.0,35.0,200.0,ASCON
60.0,Z,High,500.0,35.0,200.0,ASCON
50.0,Z,High,500.0,35.0,200.0,ISAP
40.0,Z,High,500.0,35.0,200.0,ISAP
30.0,Z,High,500.0,35.0,200.0,ISAP
20.0,Z,High,500.0,35.0,200.0,ISAP
10.0,Z,High,500.0,35.0,200.0,ISAP
100.0,AA,High,500.0,35.0,1000.0,ASCON
90.0,AA,High,500.0,35.0,1000.0,ASCON
80.0,AA,High,500.0,35.0,1000.0,ASCON
70.0,AA,High,500.0,35.0,1000.0,ASCON
60.0,AA,High,500.0,35.0,1000.0,ASCON
50.0,AA,High,500.0,35.0,1000.0,ASCON
40.0,AA,High,500.0,35.0,1000.0,ASCON
30.0,AA,High,500.0,35.0,1000.0,ASCON
20.0,AA,High,500.0,35.0,1000.0,ASCON
10.0,AA,High,500.0,35.0,1000.0,ASCON
90.18178733593483,A ,Low,356.39109118740674,18.511200163178398,0.0,Xoodyak
99.42249604508672,A ,Low,376.6123530156494,21.578225885744356,5.7431762074544395,Xoodyak
99.67473050636598,A ,Low,345.56565192648173,19.46421895900901,4.016930970080914,Xoodyak
91.21196398148037,A ,Low,393.3602043341956,25.998812589529972,0.0,Xoodyak
90.75876579796697,A ,Low,313.78009125837536,18.511005691776454,0.0,Xoodyak
90.61607238827919,A ,Low,321.0106529691551,17.482035553368856,0.0,Xoodyak
93.95430602948036,A ,Low,385.0131581743066,24.583129833348778,0.0,Xoodyak
92.84988002148145,A ,Low,350.8770491209032,19.827834105679116,0.0,Xoodyak
95.45706586030161,A ,Low,311.72591784272294,20.839298430051088,0.0,Xoodyak
92.30782849412282,A ,Low,306.7874743444369,20.735527655688074,0.0,Xoodyak
92.79599189395526,A ,Low,326.6062599273829,20.10703814810776,0.0,Xoodyak
97.67112564826309,A ,Low,382.6043907453048,23.29511236309089,0.0,Xoodyak
98.43410764858744,A ,Low,346.99522842489455,25.22207129922087,0.0,Xoodyak
99.08392707672486,A ,Low,365.52927969339413,26.525522777911423,0.0,Xoodyak
93.37704092216082,A ,Low,333.9843596825865,19.03974785620543,0.0,Xoodyak
91.04515230507779,A ,Low,308.84174980244495,23.50659917800962,0.0,Xoodyak
97.58087656046473,A ,Low,371.30046431317317,20.47812593296986,0.0,Xoodyak
95.00375571687972,A ,Low,309.8977778358157,19.003328515348077,0.0,Xoodyak
96.10639153702505,A ,Low,332.05407247602824,18.58482784884605,0.0,Xoodyak
92.18543334448779,A ,Low,329.8219008479816,21.75835549103777,0.0,Xoodyak
91.15085877423675,A ,Low,306.53071877172624,25.480772042678716,0.0,Xoodyak
92.38185762410076,A ,Low,363.56205686723706,23.850412564881342,0.0,Xoodyak
99.06432593598863,A ,Low,398.0626800949544,17.97936888510248,0.0,Xoodyak
99.66004303923513,A ,Low,335.1770464279046,22.798786495048613,0.0,Xoodyak
98.87911701282232,A ,Low,391.46040826939407,25.39793548742653,0.0,Xoodyak
95.91409775946661,A ,Low,375.90203834150566,23.585692408996785,0.0,Xoodyak
98.1888757233401,A ,Low,338.9248112671778,17.888477341391894,0.0,Xoodyak
90.7636244227509,A ,Low,394.8448179582459,26.403132477579035,0.0,Xoodyak
94.17741975273633,A ,Low,342.5234429167708,21.765950591960433,0.0,Xoodyak
94.5417583364166,A ,Low,303.7290042874205,18.61159312225476,0.0,Xoodyak
97.90959446157854,A ,Low,303.8781163299751,20.19139506336513,0.0,Xoodyak
95.79083412784404,A ,Low,322.84902507573946,19.290081341193826,0.0,Xoodyak
91.6164103345522,A ,Low,311.11267061922473,19.03691466371108,3.3491266492568195,Xoodyak
90.2480264157998,A ,Low,328.00574742302877,22.219200642175103,1.840218379601446,Xoodyak
96.45325906436746,A ,Low,325.05734709562796,26.419861286947445,6.109547918261839,Xoodyak
90.35373324489497,A ,Low,389.41708035567547,26.835717344216352,0.0,Xoodyak
93.12980004296469,A ,Low,305.88549366065985,22.60563526046781,0.0,Xoodyak
94.00957596922024,A ,Low,343.1788706487059,17.046854439136286,0.0,Xoodyak
94.66456862320837,A ,Low,335.2342502598001,18.187955897679878,0.0,Xoodyak
90.87695287090672,A ,Low,346.48360680960775,23.67075244282884,0.0,Xoodyak
98.27364108254642,A ,Low,351.65945285546337,22.341160119114,5.675255237942447,Xoodyak
90.92622107993523,A ,Low,356.32725555509313,19.11379452594123,0.0,Xoodyak
95.61115641164645,A ,Low,386.3588634475798,19.851637625455957,0.0,Xoodyak
99.9547794636249,A ,Low,398.05786396804325,19.132068119176758,4.539896680301072,Xoodyak
95.03765149348767,A ,Low,367.559502766913,24.452932118431576,0.0,Xoodyak
93.16943631057026,A ,Low,313.5406307730707,26.028816063370776,0.0,Xoodyak
99.46819711834569,A ,Low,360.10701492923516,26.362068005930176,0.0,Xoodyak
99.40242952483949,A ,Low,358.00331593408447,22.502614388172262,0.0,Xoodyak
95.53097374850731,A ,Low,361.74598635284866,22.438705767388083,0.0,Xoodyak
90.04928066613684,A ,Low,303.2717834802125,26.22448026133111,0.0,Xoodyak
94.67228382128829,A ,Low,313.21610599665803,26.554035540091707,0.0,Xoodyak
91.14207972309795,A ,Low,382.7214383095443,18.956567232575942,0.0,Xoodyak
94.20933811042647,A ,Low,304.192881228795,20.502142103011867,0.0,Xoodyak
91.44375799126266,A ,Low,328.068049186926,24.138934652428695,0.0,Xoodyak
91.85024515845677,A ,Low,324.11476540310247,21.547944617315245,0.0,Xoodyak
90.44540578547989,A ,Low,313.5590427019211,24.3486867445061,0.0,Xoodyak
93.20440350640057,A ,Low,395.1624302672426,25.94941349182561,4.853892545379626,Xoodyak
92.666048065581,A ,Low,302.70158367657046,21.759384398688187,0.0,Xoodyak
90.76985526884589,A ,Low,372.5731590980518,21.624023288054648,0.0,Xoodyak
91.22998706825133,A ,Low,329.36527042551535,18.497766262408263,0.0,Xoodyak
93.74916464794399,A ,Low,360.5900676456662,18.235640007556288,0.0,Xoodyak
99.96435229667681,A ,Low,370.73699688765083,19.465605890498395,3.1898530076780696,Xoodyak
92.82574365326093,A ,Low,383.7170547901598,23.29673357584665,0.0,Xoodyak
94.00325198544901,A ,Low,344.6765180991564,25.93874543780002,0.0,Xoodyak
95.9200648391936,A ,Low,300.46148663198517,18.176127237508272,0.0,Xoodyak
90.67537484935988,A ,Low,356.36366359393486,18.046863616085282,0.0,Xoodyak
92.42299918059689,A ,Low,380.9300195115356,19.41578917671723,0.0,Xoodyak
93.39634966764909,A ,Low,361.8198391729704,18.10970678719824,0.0,Xoodyak
97.01937814026691,A ,Low,380.59515714773227,24.76022843809078,0.0,Xoodyak
95.66625510068224,A ,Low,333.12897088649095,25.32756339904794,0.0,Xoodyak
93.105434844127,A ,Low,385.3040108666945,18.673691599060678,0.0,Xoodyak
94.64883801155769,A ,Low,358.2788073913339,23.86327523287964,0.0,Xoodyak
95.63611168080757,A ,Low,324.8581499652573,18.123277336685373,0.0,Xoodyak
96.32394541708155,A ,Low,342.37576270782046,21.156200032943943,0.0,Xoodyak
96.80266604388788,A ,Low,344.3000996376236,19.39307598917804,0.0,Xoodyak
93.38547086582206,A ,Low,341.8114710947873,17.505112355720293,0.0,Xoodyak
95.25766707818725,A ,Low,332.2197439933444,19.68698287347219,0.0,Xoodyak
92.55648386329177,A ,Low,308.33301233999185,24.4753499837489,0.0,Xoodyak
94.37885480904436,A ,Low,399.040512842688,25.869235783998928,0.0,Xoodyak
98.23175809837633,A ,Low,399.9714360917428,18.666433729915674,0.0,Xoodyak
92.20068444994104,A ,Low,372.6111806029119,26.05131698847868,0.0,Xoodyak
97.11302870866731,A ,Low,395.0823229236925,26.561577470886082,0.0,Xoodyak
94.28585793770252,A ,Low,312.08454643922477,19.339952732468575,0.0,Xoodyak
96.60797701475137,A ,Low,318.1720408170536,24.869419821257853,0.0,Xoodyak
97.68219472249147,A ,Low,347.5081271054238,21.83661858336697,0.0,Xoodyak
90.25223043188002,A ,Low,357.0997814826696,22.512794909253298,0.0,Xoodyak
92.11610833672043,A ,Low,394.40432922207896,20.932447009063317,0.0,Xoodyak
97.27540419322295,A ,Low,352.90455197837673,22.138811706553764,0.0,Xoodyak
95.55482960202893,A ,Low,380.56831177184813,22.708510148746964,0.0,Xoodyak
99.1322249934448,A ,Low,348.76931990106686,20.35982032457732,0.0,Xoodyak
99.19159077376952,A ,Low,338.1443138799888,25.82713922200854,0.0,Xoodyak
96.18225202288097,A ,Low,370.2493714864221,19.619452272876643,0.0,Xoodyak
90.56332599899923,A ,Low,381.6522954021675,20.676132985482695,0.0,Xoodyak
97.32733816918935,A ,Low,316.828462698149,20.675192117587933,0.0,Xoodyak
92.87976429621042,A ,Low,324.834106707828,17.007229549162435,0.0,Xoodyak
92.07778802230523,A ,Low,394.9798448415017,18.07623839829268,0.0,Xoodyak
93.97175563001709,A ,Low,339.6928492573314,21.393125067045737,0.0,Xoodyak
90.64206360833755,A ,Low,398.0991334582791,19.349048379379287,3.9220825958956063,Xoodyak
95.28362190553855,A ,Low,351.8684358090692,26.63037971959309,0.0,Xoodyak
97.18872400106227,A ,Low,343.7632828612774,25.280824601641893,0.0,Xoodyak
86.65028277129824,A,Low,365.72582608090624,18.03378825794644,0.0,Xoodyak
85.65720240963337,A,Low,388.415857145889,20.743893022003178,5.337264148700907,Xoodyak
81.68687149721553,A,Low,366.98706346988354,21.65642923287921,0.0,Xoodyak
82.71980339441029,A,Low,374.40703149147896,23.7685445634348,0.0,Xoodyak
80.93574395542319,A,Low,317.5994705597176,19.38285986123113,0.0,Xoodyak
86.35464868984462,A,Low,300.5775208852584,21.84772885808303,0.0,Xoodyak
86.39799259560398,A,Low,358.0167642675665,22.709933217380158,0.0,Xoodyak
84.58322687034135,A,Low,389.4143601946587,24.423961181630318,0.0,Xoodyak
82.11486011390438,A,Low,333.80002368656693,18.663651812931455,2.1522539081689573,Xoodyak
87.50171488282861,A,Low,379.8115110447502,25.263837993726415,0.0,Xoodyak
80.90802577006255,A,Low,332.6260716567463,23.044459605072102,0.0,Xoodyak
87.67109318342264,A,Low,330.46333937595017,23.172803075757404,0.0,Xoodyak
81.60185223294705,A,Low,301.16205969039765,19.56241080231269,0.0,Xoodyak
84.74200629099781,A,Low,396.89105355848864,25.225857328197677,0.0,Xoodyak
80.31225479579705,A,Low,372.21697594007276,17.658345618093424,0.0,Xoodyak
89.87641390310303,A,Low,376.89421130257085,20.028853286424482,4.4818402229168015,Xoodyak
89.58558308360324,A,Low,355.64800384431027,20.677320577338936,0.0,Xoodyak
85.64041333633284,A,Low,399.6639694796485,23.746857851007572,0.0,Xoodyak
81.62150263741992,A,Low,389.99162688342386,26.09926029429029,0.0,Xoodyak
87.13262095479803,A,Low,356.1740193738375,22.113334254588313,0.0,Xoodyak
89.05797363412329,A,Low,365.04407750437787,22.580161203446103,0.0,Xoodyak
82.12996765662923,A,Low,363.91270696837773,26.764512063985176,0.0,Xoodyak
89.50766525390529,A,Low,385.2060652135722,20.686796657930344,0.0,Xoodyak
86.93398594978369,A,Low,373.3384051881624,18.377395974732284,0.0,Xoodyak
82.51332781777188,A,Low,349.1648781331511,26.497095398301187,0.0,Xoodyak
80.36685065287996,A,Low,300.6843694113085,18.389062832426344,0.0,Xoodyak
87.64340139200397,A,Low,307.56532407285965,22.696769860712724,0.0,Xoodyak
81.89399397464656,A,Low,316.0193648927336,22.963863742759294,0.0,Xoodyak
81.73479858288256,A,Low,377.88940029150814,20.80015366111405,0.0,Xoodyak
82.10698484562822,A,Low,368.3377193179823,24.581315771591324,0.0,Xoodyak
86.26285732670138,A,Low,396.2362910318732,23.85780377053778,0.0,Xoodyak
87.6423754121085,A,Low,301.6098664220427,25.681916869274133,0.0,Xoodyak
80.62791047251282,A,Low,353.5534513064091,20.440794660633696,0.0,Xoodyak
86.65117236737262,A,Low,364.2048197126035,22.84709898464838,0.0,Xoodyak
89.72081077334407,A,Low,342.62994928030986,26.029850498647576,0.0,Xoodyak
80.0303719322946,A,Low,378.50105135414816,17.50102845338875,0.0,Xoodyak
81.67366112543132,A,Low,365.7489858549971,24.529388067347423,0.0,Xoodyak
80.64119336334146,A,Low,365.578565380115,19.047962559419016,3.9363373487688613,Xoodyak
87.21044674286257,A,Low,377.8587322568092,21.769502797531796,0.0,Xoodyak
81.08289679232699,A,Low,381.2253595567477,22.9041338211246,0.0,Xoodyak
87.04825121480525,A,Low,304.8683046799109,20.21184619042631,0.0,Xoodyak
80.12115791336225,A,Low,308.1598739051394,25.027273601359166,0.0,Xoodyak
88.41926307361209,A,Low,344.6837332797057,22.707183098007114,1.625392184555765,Xoodyak
80.17873818022943,A,Low,341.05020011867265,23.90961212373178,0.0,Xoodyak
81.16289174487649,A,Low,385.759892412865,23.58231430992972,4.973583813359042,Xoodyak
84.29282467041466,A,Low,301.8471217136321,25.34402871461683,0.0,Xoodyak
80.81997067503508,A,Low,365.5564163319883,24.926878671152753,0.0,Xoodyak
83.26546396298941,A,Low,362.8307810752648,25.975683449288752,0.0,Xoodyak
83.47514692091377,A,Low,371.1380844430106,18.03688110314317,0.0,Xoodyak
86.9084118311369,A,Low,388.72402554686124,18.801466980257448,0.0,Xoodyak
81.3528677913533,A,Low,373.71253062547976,19.721368441442998,8.382988473988053,Xoodyak
88.940759412622,A,Low,337.34643452536875,20.24568294809501,0.0,Xoodyak
